,brand,model,variant,price,year,mileage,transmission,fuel,colour
34,,C5 Aircross,C5 Aircross Flair Plus,"21,495",2019,"2,525.0",Manual,Petrol,Unknown
35,,C5 Aircross,C5 Aircross Flair,"21,257",2019,"13,143.0",Automatic,Petrol,Unknown
36,,C5 Aircross,C5 Aircross Flair,"17,750",2019,"12,719.0",Manual,Petrol,Unknown
37,,C5 Aircross,C5 Aircross Flair,"20,995",2021,"7,778.0",Manual,Petrol,Metallic - Platinum grey
38,,C5 Aircross,C5 Aircross Flair,"21,052",2020,"27,232.0",Automatic,Diesel,Metallic - Perla nera black
39,,C5 Aircross,C5 Aircross Flair,"22,106",2020,"16,651.0",Automatic,Diesel,Unknown
40,,C5 Aircross,C5 Aircross Flair Plus,"21,695",2019,"11,600.0",Automatic,Diesel,Unknown
41,,C5 Aircross,C5 Aircross Flair,"24,299",2021,"6,516.0",Automatic,Diesel,Unknown
42,,C5 Aircross,C5 Aircross Flair,"18,340",2019,"33,400.0",Manual,Petrol,Unknown
43,,C5 Aircross,C5 Aircross Flair,"19,869",2019,"13,569.0",Manual,Petrol,Unknown
44,,C5 Aircross,C5 Aircross Flair Plus,"28,979",2020,"10,567.0",Automatic,Hybrid (Petrol),Unknown
45,,C5 Aircross,C5 Aircross Flair,"21,000",2019,"20,625.0",Automatic,Diesel,Metallic - Volcano red
46,,C5 Aircross,C5 Aircross Flair Plus,"21,495",2019,"2,525.0",Manual,Petrol,Unknown
47,,C5 Aircross,C5 Aircross Flair,"21,257",2019,"13,143.0",Automatic,Petrol,Unknown
48,,C5 Aircross,C5 Aircross Flair,"17,750",2019,"12,719.0",Manual,Petrol,Unknown
49,,C5 Aircross,C5 Aircross Flair,"20,995",2021,"7,778.0",Manual,Petrol,Metallic - Platinum grey
50,,C5 Aircross,C5 Aircross Flair,"21,052",2020,"27,232.0",Automatic,Diesel,Metallic - Perla nera black
51,,C5 Aircross,C5 Aircross Flair,"22,106",2020,"16,651.0",Automatic,Diesel,Unknown
52,,C5 Aircross,C5 Aircross Flair Plus,"21,695",2019,"11,600.0",Automatic,Diesel,Unknown
53,,C5 Aircross,C5 Aircross Flair,"24,299",2021,"6,516.0",Automatic,Diesel,Unknown
54,,C5 Aircross,C5 Aircross Flair,"18,340",2019,"33,400.0",Manual,Petrol,Unknown
55,,C5 Aircross,C5 Aircross Flair,"19,869",2019,"13,569.0",Manual,Petrol,Unknown
56,,C5 Aircross,C5 Aircross Flair Plus,"28,979",2020,"10,567.0",Automatic,Hybrid (Petrol),Unknown
57,,C5 Aircross,C5 Aircross Flair,"21,000",2019,"20,625.0",Automatic,Diesel,Metallic - Volcano red
58,,C5 Aircross,C5 Aircross Flair Plus,"21,495",2019,"2,525.0",Manual,Petrol,Unknown
59,,C5 Aircross,C5 Aircross Flair,"21,257",2019,"13,143.0",Automatic,Petrol,Unknown
0,,C4,C4 Shine Plus,"22,965",2021,"7,451.0",Automatic,Diesel,Metallic - Cumulus grey
